k,image_id,cer_wiener,len_orig,len_wiener
0.02,0018786,0.0833,48,49
0.02,0018787,0.6348,345,272
0.02,0018788,0.7697,343,170
0.02,0018789,0.0225,89,88
0.02,0018790,0.6216,37,21
0.02,0018791,0.5132,341,311
0.02,0018792,0.4759,311,295
0.02,0018793,0.1421,387,355
0.02,0018794,0.0899,178,190
0.02,0018795,0.7170,371,362
0.02,0018796,0.7188,345,368
0.02,0018797,0.8057,314,334
0.02,0018798,0.2105,152,125
0.02,0018799,0.0367,109,111
0.02,0018800,0.6462,424,321
0.02,0018801,0.2254,448,485
0.02,0018802,1.0000,0,222
0.02,0018803,0.8909,55,13
0.02,0018804,0.9691,97,123
0.02,0018805,0.6634,202,143
0.02,0018806,0.0709,254,262
0.02,0018807,0.6288,229,196
0.02,0018808,0.0769,13,13
0.02,0018809,0.0563,231,227
0.02,0018810,0.0213,188,189
0.02,0018811,0.7267,172,170
0.02,0018812,0.2839,236,272
0.02,0018813,0.4706,68,61
0.02,0018814,0.2618,466,487
0.02,0018815,0.8216,185,150
0.02,0018816,0.9192,953,97
0.02,0018817,0.6094,64,68
0.02,0018818,0.9640,111,4
0.02,0018819,0.1349,482,484
0.02,0018820,0.1975,238,238
0.02,0018821,0.1232,211,218
0.02,0018822,0.2477,444,432
0.02,0018823,0.2669,251,260
0.02,0018824,0.1050,343,362
0.02,0018825,0.5865,208,141
0.02,0018826,0.3965,454,382
0.02,0018827,0.0100,201,200
0.02,0018828,0.0737,543,534
0.02,0018829,0.0663,513,524
0.02,0018830,0.7692,377,267
0.02,0018831,0.7374,297,234
0.02,0018832,0.7407,243,137
0.02,0018833,0.7887,284,183
0.02,0018834,0.4713,331,281
0.02,0018835,0.6487,279,175
0.02,0018836,0.5138,362,262
0.02,0018837,0.2290,511,465
0.02,0018838,0.3556,554,502
0.02,0018839,0.7166,487,247
0.02,0018840,0.6970,231,152
0.02,0018841,0.0153,326,326
0.02,0018842,0.7528,445,269
0.02,0018843,0.2831,378,367
0.02,0018844,0.8884,457,107
0.02,0018845,0.6009,213,159
0.02,0018846,1.0000,0,67
0.02,0018847,0.7487,398,200
0.02,0018848,0.0603,199,201
0.02,0018849,0.2941,306,318
0.02,0018850,0.8095,294,155
0.02,0018851,0.8732,418,73
0.02,0018852,0.6989,269,191
0.02,0018853,0.1254,303,303
0.02,0018854,0.8133,75,67
0.02,0018855,0.5846,272,258
0.02,0018856,0.1205,448,491
0.02,0018857,0.5576,382,311
0.02,0018858,0.3571,378,352
0.02,0018859,0.7062,211,169
0.02,0018860,0.1558,276,297
0.02,0018861,0.9881,168,3
0.02,0018862,0.2452,473,488
0.02,0018863,0.3248,157,158
0.02,0018864,0.7826,230,90
0.02,0018865,0.7882,406,180
0.02,0018866,0.8101,79,47
0.02,0018867,0.5000,120,94
0.02,0018868,0.3161,310,296
